year,ID,recruit,Count of Year,sum_n of eggs,mean_n of eggs,SD_ n of eggs,mean_length,SD_length,mean_width,SD_width,mass,energy
1995,1995G068,First time,5,471,94.2,26.64958,95.8,0.83666,80,1.095445,99.11272,92499.69
1995,1995G069,First time,3,273,91,3.605551,99.33333,0.57735,80,2,107.6577253,89357.45
1995,1995G070,First time,4,440,110,8.485281,104.25,0.5,80,0.816497,119.5482,108014.5
1995,1995G073,First time,1,115,115,,98,,80,,104.4332,112924.25
1995,1995G076,First time,2,164,82,2.828427,89,1.414214,80,0.707107,82.6676,80519.9
1995,1995G077,First time,1,81,81,,94,,80,,94.7596,79537.95
1995,1995G078,First time,2,93,93,,98.5,0.707107,80,2.12132,105.6424,91321.35
1995,1995G079,First time,3,305,101.6667,6.806859,89,0,80,0.57735,82.6676,99831.61607
1995,1995G080,First time,2,194,97,4.242641,96,0,80,0.707107,99.5964,95249.15
1995,1995G081,First time,3,321,107,12.28821,103,1,80,3.511885,116.5252,105068.65
1995,1995G082,First time,2,191,95.5,0.707107,92,0,80,0,89.9228,93776.225
1995,1995G083,First time,2,215,107.5,3.535534,101,0,80,1.414214,111.6884,105559.625
1995,1995G084,First time,1,136,136,,110,,80,,133.454,133545.2
1995,1995G085,First time,3,404,134.6667,4.725816,113.3333,0.57735,80,0.57735,141.5152527,132235.9661
1995,1995G086,First time,2,196,98,1.414214,91,0,80,1.414214,87.5044,96231.1
1995,1995G087,First time,1,112,112,,106,,80,,123.7804,109978.4
1995,1995G088,First time,1,109,109,,103,,80,,116.5252,107032.55
1995,1995G089,First time,1,88,88,,103,,80,,116.5252,86411.6
1995,1995G090,First time,1,99,99,,97,,80,,102.0148,97213.05
1995,1995G091,First time,1,102,102,,101,,80,,111.6884,100158.9
1995,1995G093,First time,6,563,93.83333,12.63988,97.66667,1.032796,80,1.516575,103.6270747,92139.63839
1995,1995G095,First time,1,145,145,,103,,80,,116.5252,142382.75
1995,1995G096,First time,4,422,105.5,15.86401,102.5,1,80,1.825742,115.316,103595.725
1995,1995G098,First time,1,79,79,,99,,80,,106.8516,77574.05
1995,1995G101,First time,2,181,90.5,2.12132,101.4,0.848528,80,3.181981,112.65576,88866.475
1995,1995G102,First time,1,119,119,,111,,80,,135.8724,116852.05
1995,1995G103,First time,5,536,107.2,8.983318,104.8,1.095445,80,1.140175,120.87832,105265.04
1995,1995G104,First time,4,360,90,2.94392,98,0.816497,80,1.290994,104.4332,88375.5
1995,1995G105,First time,3,376,125.3333,17.0098,104,0,80,1,118.9436,123071.0339
1995,1995G106,First time,1,79,79,,91,,80,,87.5044,77574.05
1995,1995G108,First time,5,530,106,8.944272,101,1.414214,80,1.949359,111.6884,104086.7
1995,1995G109,First time,3,322,107.3333,11.06044,94.33333,0.57735,80,3.05505,95.56572527,105395.9339
1995,1995G110,First time,2,194,97,12.72792,91,0,80,0,87.5044,95249.15
1996,1993G001,First time,4,368,92,17.66352,91.625,0.85,80,0.880814,89.0159,90339.4
1996,1993G009,First time,2,286,143,8.485281,105.25,0.070711,80,0.777817,121.9666,140418.85
1996,1993G012,First time,4,290,72.5,8.185353,93.775,0.262996,80,1.21106,94.21546,71191.375
1996,1993G015,First time,4,474,118.5,12.79323,102.5,0.770281,80,1.676057,115.316,116361.075
1996,1993G023,Recurring,7,691,98.71429,12.22994,103.5714,0.876954,80,1.144136,117.9070738,96932.49707
1996,1993G026,First time,8,740,92.5,9.426407,98.7375,0.562996,80,0.669221,106.21677,90830.375
1996,1993G028,Recurring,4,388,97,27.556,104.825,1.178629,80,1.147461,120.93878,95249.15
1996,1993G030,Recurring,2,148,148,,107.45,0.070711,80,0.565685,127.28708,145328.6
1996,1993G037,Recurring,4,361,90.25,12.97112,95.85,0.645497,80,0.793725,99.23364,88620.9875
1996,1993G043,Recurring,7,814,116.2857,13.49956,94.31429,0.58146,80,1.46937,95.51967894,114186.7431
1996,1993G046,Recurring,3,349,116.3333,18.58315,103.8667,1.02632,80,0.3,118.6212273,114233.4839
1996,1993G048,Recurring,1,92,92,,101.4,,80,,112.65576,90339.4
1996,1993G072,Recurring,3,417,139,6.557439,108.4,0.69282,80,1.571623,129.58456,136491.05
1996,1993G076,Recurring,3,371,123.6667,19.00877,104.8,0.6245,80,1.789786,120.87832,121434.5161
1996,1993G089,Recurring,1,95,95,,108.5,,80,,129.8264,93285.25
1996,1993G092,Recurring,5,598,119.6,7.924645,93.98,0.694262,80,0.815475,94.711232,117441.22
1996,1993G097,Recurring,3,290,96.66667,36.89625,101.9667,0.493288,80,0.85049,114.0262673,94921.83661
1996,1993G103,Recurring,7,751,107.2857,15.03013,97.86667,0.540576,80,0.652346,104.1107547,105349.1931
1996,1993G105,Recurring,7,733,104.7143,20.1388,99.27143,0.626403,80,1.171487,107.5080263,102824.2069
1996,1993G111,Recurring,6,607,101.1667,8.931219,101.8667,0.68313,80,0.365605,113.7844273,99340.64107
1996,1993G112,Recurring,5,758,151.6,8.354639,108.396,0.798799,80,0.97001,129.5748864,148863.62
1996,1993G117,Recurring,3,309,103,17.34935,104.3,0.1,80,0.568624,119.66912,101140.85
1996,1993G118,Recurring,2,233,116.5,13.43503,98.2,0.141421,80,0.070711,104.91688,114397.175
1996,1993G122,Recurring,3,314,104.6667,11.67619,99.76667,0.776745,80,0.953939,108.7057147,102777.4661
1996,1993G125,Recurring,4,472,118,11.22497,105.625,0.57373,80,0.917878,122.8735,115870.1
1996,1993G129,Recurring,5,428,107,7.393691,97.18,0.303315,80,1.184061,102.450112,105068.65
1996,1993G130,Recurring,2,190,95,7.071068,98.15,0.212132,80,0.777817,104.79596,93285.25
1996,1996G003,First time,4,489,122.25,14.40775,96.225,0.634429,80,1.340087,100.14054,120043.3875
1996,1996G004,First time,4,461,115.25,13.52467,101.6,0.57735,80,0.359398,113.13944,113169.7375
1996,1996G005,First time,1,111,111,,100.9,,80,,111.44656,108996.45
1996,1996G007,First time,3,472,157.3333,5.859465,108.2667,0.472582,80,0.321455,129.2621873,154493.4339
1996,1996G008,First time,1,81,81,,87,,80,,77.8308,79537.95
1996,1996G009,First time,6,758,126.3333,10.85664,104.3833,0.449073,80,0.665332,119.8705727,124052.9839
1996,1996G010,First time,6,454,90.8,16.79881,96.6,0.715542,80,0.72111,101.04744,89161.06
1996,1996G011,First time,1,60,60,,97.1,,80,,102.25664,58917
1996,1996G013,First time,5,372,74.4,16.08726,103.34,0.733485,80,1.145862,117.347456,73057.08
1996,1996G015,First time,2,148,74,26.87006,96.9,0.707107,80,1.555635,101.77296,72664.3
1996,1996G016,First time,7,576,82.28571,15.09651,106.1429,1.350132,80,0.859956,124.1259894,80800.45293
1996,1996G017,First time,2,152,76,8.485281,97.2,0,80,0,102.49848,74628.2
1996,1996G018,First time,5,410,82,12.5499,96.94,1.33529,80,0.415933,101.869696,80519.9
1996,1996G019,First time,6,550,91.66667,26.1432,103.32,1.028397,80,1.118213,117.299088,90012.08661
1996,1996G020,First time,4,358,89.5,7.187953,98.375,0.613052,80,0.903696,105.3401,87884.525
1996,1996G021,First time,2,251,125.5,16.26346,106.25,0.070711,80,0,124.385,123234.725
1996,1996G022,First time,9,700,87.5,14.06109,91.24444,0.92346,80,1.590947,88.0955537,85920.625
1996,1996G023,First time,4,370,92.5,16.74316,106.7333,0.249444,80,0.883176,125.5538127,90830.375
1996,1996G024,First time,3,228,76,29.71532,97.51667,1.332604,80,1.060252,103.2643147,74628.2
1996,1996G026,First time,5,445,89,8.336666,96.96,0.856154,80,0.308221,101.918064,87393.55
1996,1996G028,First time,1,101,101,,98,,80,,104.4332,99176.95
1996,1996G029,First time,5,575,115,21.30728,102.82,0.752994,80,0.988939,116.089888,112924.25
1996,1996G030,First time,4,371,92.75,21.40677,98.075,0.35,80,0.287228,104.61458,91075.8625
1996,1996G031,First time,1,96,96,,95,,80,,97.178,94267.2
1996,1996G032,First time,4,352,88,26.63331,96.625,1.21758,80,0.340343,101.1079,86411.6
1996,1996G033,First time,4,283,94.33333,2.516611,96.275,0.736546,80,0.619139,100.26146,92630.61339
